,Unnamed: 0,end,id,start,text,catma_displaycolor,catma_markupauthor,catma_markuptimestamp,tag_type,tag_type_id,Belegung,Art,Bestimmung_Umfeld,text_name,Primary_class,Secondary_class,Anzahl__Beschuldigte_,Geschlecht_Beschuldigter,ID__Beschuldigte_,Rolle__Beschuldigte_,Alter__Betroffene_,Anzahl__Betroffene_,Geschlecht__Betroffene_,ID__Betroffene_,Geschlecht__Beschuldigter_
10,10,4361,CATMA_F893E0C1-3397-4CAB-BA23-36D20C1DA771,4356,Frau ,-13288961.0,Mhuerten,2025-06-14T18:33:41.360+0200,weiblich,CATMA_CC68784B-9178-4E0A-B4A0-5513728C0DB5,,,,Bozen-Brixen,Geschlecht (Betroffene),,,,,,,,,,
11,11,4407,no_annotation_2,4404,  D,,,,,,,,,Bozen-Brixen,,,,,,,,,,,
12,12,4666,CATMA_10E2EA03-0896-43A8-9DEC-38B2E6F5F4A6,4407,er Geburt folgte bis in die 1970er Jahre die „öffentliche Aussegnung“ in der  Heimatpfarrei. Historikern zufolge mussten dabei die Frauen – weil sie unrein  waren – auf Knien vor der Kirchentür warten und dann auf Knien zum Hoch- altar vorrutschen und beten. ,-2367366.0,Mhuerten,2025-06-14T18:36:35.131+0200,spirituell,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,,,,Bozen-Brixen,Tatbeschreibung,,,,,,,,,,
13,13,4693,no_annotation_3,4666,"Als alles überstanden war, ",,,,,,,,,Bozen-Brixen,,,,,,,,,,,
14,14,4764,CATMA_34FE54AE-A5CF-4651-93CB-9C4619808E5C,4693,"forderte der Pfarrer  die Frauen dann auf, das nächste Kind zu bekommen",-10110086.0,Mhuerten,2025-04-25T13:58:34.356+0200,reproduktiv,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,,,,Bozen-Brixen,Tatbeschreibung,,,,,,,,,,
15,15,4713,CATMA_9D4823E0-4FDF-46B2-A332-83B1A374FAA8,4706,Pfarrer,-7143428.0,Mhuerten,2025-06-14T18:34:10.195+0200,Kleriker,CATMA_C5C97E2C-3134-4D0E-B852-01932DB00047,,,,Bozen-Brixen,Beschuldigte,,,,,,,,,,
16,16,4725,CATMA_D625F961-D0E4-40D3-9261-E5DF5E17E97E,4719,Frauen,-13288961.0,Mhuerten,2025-06-14T18:37:02.430+0200,weiblich,CATMA_CC68784B-9178-4E0A-B4A0-5513728C0DB5,,,,Bozen-Brixen,Geschlecht (Betroffene),,,,,,,,,,
17,17,4726,CATMA_F1F08068-E5E5-408D-86B1-AEF8BCB7B993,4719,Frauen ,-725551.0,Mhuerten,2025-06-14T18:36:47.038+0200,erwachsen,CATMA_EE521272-8EC0-40AC-968A-7EFB4F8B21F5,,,,Bozen-Brixen,Alter (Betroffene),,,,,,,,,,
18,18,4815,no_annotation_4,4764,". Es soll dabei nicht un- üblich gewesen sein, dass",,,,,,,,,Bozen-Brixen,,,,,,,,,,,
19,19,4877,CATMA_F9D424D1-F1B6-4CE0-BD53-706202203C6D,4815, die Männer die Frauen noch im Wochenbett zum  Verkehr zwangen,-5482776.0,Mhuerten,2025-07-10T15:12:49.357+0200,Penetration,CATMA_CB3D856C-2196-4C71-A39A-BA3AF849F0A9,Unter Druck/Zwang,,,Bozen-Brixen,Tatbeschreibung,sexuell,,,,,,,,,
20,20,4877,CATMA_34F48239-EFD0-4E49-81EF-CA8EDB9ECBC0,4816,die Männer die Frauen noch im Wochenbett zum  Verkehr zwangen,-10110086.0,Mhuerten,2025-04-25T13:59:13.382+0200,reproduktiv,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,,,,Bozen-Brixen,Tatbeschreibung,,,,,,,,,,
21,21,4826,CATMA_8D648741-EE2E-4F67-96A9-64201BBD5F4E,4820,Männer,-13459949.0,Mhuerten,2025-06-14T18:34:50.657+0200,Nicht-Kleriker,CATMA_82A44BD7-8701-4E4B-8245-FEB4B4A8FA46,,,,Bozen-Brixen,Beschuldigte,,,,,,,,,,
22,22,4837,CATMA_ADE21FBC-1D51-4B70-8C57-48E179856AAE,4831,Frauen,-13288961.0,Mhuerten,2025-06-14T18:35:06.655+0200,weiblich,CATMA_CC68784B-9178-4E0A-B4A0-5513728C0DB5,,,,Bozen-Brixen,Geschlecht (Betroffene),,,,,,,,,,
23,23,4837,CATMA_DA0E2C5F-BB5C-4F31-B47B-0ACD11A646D2,4831,Frauen,-725551.0,Mhuerten,2025-06-14T18:34:57.228+0200,erwachsen,CATMA_EE521272-8EC0-40AC-968A-7EFB4F8B21F5,,,,Bozen-Brixen,Alter (Betroffene),,,,,,,,,,
24,24,4880,no_annotation_5,4877,.  ,,,,,,,,,Bozen-Brixen,,,,,,,,,,,
25,25,5078,CATMA_56D9C06D-0E44-46DB-A085-886E444BD1EC,4880,"Der Zwang für verheiratete Frauen, in der Ehe möglichst viele Kinder auf die  Welt zu bringen, war somit auf ein katholisches, gesellschaftlich akzeptiertes  und befolgtes Moralgebot zurückzuführen.",-2367366.0,Mhuerten,2025-06-14T18:36:08.021+0200,spirituell,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,,,,Bozen-Brixen,Tatbeschreibung,,,,,,,,,,
26,26,5077,_0,5063,zurückzuführen,-9667700.0,Mhuerten,2025-04-25T13:57:31.277+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
27,27,6016,_1,6010,wurden,-9667700.0,Mhuerten,2025-06-14T18:46:02.357+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
28,28,17626,_2,17617,"meinen  
",-9667700.0,Mhuerten,2025-07-10T15:51:20.590+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
29,29,23195,_3,23186,entnehmen,-9667700.0,Mhuerten,2025-05-12T15:20:38.570+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
30,30,26534,_4,26524,eingesetzt,-9667700.0,Mhuerten,2025-06-16T11:09:06.310+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
31,31,27129,_5,27120,erkennbar,-9667700.0,Mhuerten,2025-06-16T11:18:16.063+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
32,32,33707,_6,33704,hat,-9667700.0,Mhuerten,2025-04-25T15:54:44.741+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
33,33,38915,_7,38904,zurücklägen,-9667700.0,Mhuerten,2025-04-25T16:37:24.133+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
34,34,46689,_8,46686,sei,-9667700.0,Mhuerten,2025-07-10T15:52:37.794+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
35,35,50063,_9,50057,küssen,-9667700.0,Mhuerten,2025-07-10T15:53:20.840+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
36,36,54489,_10,54482,"dies  
",-9667700.0,Mhuerten,2025-07-10T15:53:52.293+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
37,37,57776,_11,57769,berührt,-9667700.0,Mhuerten,2025-07-10T15:58:00.987+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
38,38,59536,_12,59530,"der  
",-9667700.0,Mhuerten,2025-07-10T16:21:49.138+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
39,39,61394,_13,61389,hatte,-9667700.0,Mhuerten,2025-07-11T10:29:17.082+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
40,40,64666,_14,64663,auf,-9667700.0,Mhuerten,2025-04-25T17:06:32.680+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
41,41,66401,_15,66395,"der  
",-9667700.0,Mhuerten,2025-07-11T10:54:43.549+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
42,42,66969,_16,66964,wurde,-9667700.0,Mhuerten,2025-04-25T17:10:48.514+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
43,43,67934,_17,67929,wurde,-9667700.0,Mhuerten,2025-07-11T10:59:58.041+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
44,44,5355,no_annotation_6,5078,"  Hinzu kam spezifisch in Südtirol die politisch bedingte Pflicht zum Erhalt der  Südtiroler Minderheit im Staat Italien, die auf deutsch- und ladinischsprachi- gen Nachwuchs angewiesen war.  

#######################

Seite 54

Westpfahl   Spilker   Wastl  München  - 43 -    ",,,,,,,,,Bozen-Brixen,,,,,,,,,,,
45,45,5358,B-2,5355,Bei,-399266.0,Mhuerten,2025-06-14T18:43:14.490+0200,Start,CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3,,,,Bozen-Brixen,Relevante Textstelle,,,,,,,,,,
46,46,5643,no_annotation_7,5358," außerehelich geborenen Kindern wurden sowohl die Frau als auch das  Kind sozial ausgeschlossen und als minderwertig behandelt. So wurden au- ßerehelich geborene, oftmals in prekären wirtschaftlichen Verhältnissen le- bende, gesellschaftlich ausgegrenzte, mithin weitgehend schutzlose ",,,,,,,,,Bozen-Brixen,,,,,,,,,,,
47,47,5652,CATMA_72258679-64DB-46C9-83E2-3CB1A442A4F4,5643,Mäd- chen,-13288961.0,Mhuerten,2025-06-14T18:44:18.252+0200,weiblich,CATMA_CC68784B-9178-4E0A-B4A0-5513728C0DB5,,,,Bozen-Brixen,Geschlecht (Betroffene),,,,,,,,,,
48,48,5652,CATMA_FFD03F6F-E154-4F31-AA4D-88F2CD929460,5643,Mäd- chen,-11911038.0,Mhuerten,2025-06-14T18:43:54.666+0200,Alter unklar,CATMA_FC6EDD7D-E034-4C5F-90CC-CFF5F2499E01,implizit,,,Bozen-Brixen,Alter (Betroffene),,,,,,,,,,
49,49,5671,no_annotation_8,5652, nicht selten Opfer,,,,,,,,,Bozen-Brixen,,,,,,,,,,,
50,50,5693,CATMA_3C03FF79-249C-4CDE-ADD2-ABDB461BA036,5671, sexualisierter Gewalt,-13101205.0,Mhuerten,2025-07-04T23:40:35.187+0200,nicht spezifizierte Taten,CATMA_B03D4763-9E0C-4E2D-9ACA-DD358DA82669,,,,Bozen-Brixen,Tatbeschreibung,sexuell,,,,,,,,,
51,51,5693,CATMA_9883E2D5-7911-455B-82EC-341EB9234ACE,5672,sexualisierter Gewalt,-13239067.0,Mhuerten,2025-06-14T18:45:09.299+0200,Missbrauch,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,,,,Bozen-Brixen,Framing der Taten,,,,,,,,,,
52,52,5708,no_annotation_9,5693,", die sie sich ",,,,,,,,,Bozen-Brixen,,,,,,,,,,,
53,53,5775,CATMA_625C7667-469F-449D-BE37-D7AE82124069,5708,aufgrund ihrer nied- rigen sozialen Stellung nie trauten anzuzeigen,-5775611.0,Mhuerten,2025-06-14T18:45:47.257+0200,Meldung,CATMA_4B58BD11-F55C-4E4B-A09C-474BD5D22CE0,,,,Bozen-Brixen,Handeln der Betroffenen,,,,,,,,,,
54,54,6010,no_annotation_10,5775,". Die Gleichberechtigung der  Frau und ihre Teilhabe am Leben außerhalb der Familie wurden erst allmäh- lich akzeptiert, was auch die Art und Weise beeinflusste, wie Sexualität im  Allgemeinen und die weibliche Sexualität wahrgenommen ",,,,,,,,,Bozen-Brixen,,,,,,,,,,,
