,start,end,id,text,tag_type_id,tag_type,catma_markupauthor,catma_markuptimestamp,catma_displaycolor,Belegung,Geschlecht__Beschuldigter_,Art,Geschlecht_Beschuldigter,Anzahl__Beschuldigte_,Rolle__Beschuldigte_,ID__Beschuldigte_,Geschlecht__Betroffene_,Alter__Betroffene_,Anzahl__Betroffene_,ID__Betroffene_,Bestimmung_Umfeld
51,1458,5216,no_annotation_2,". Das ausgewertete Quellenkorpus beinhaltete (ehemalige) Geheimarchivbe­ stände, die Archive der Fachgremien «Sexuelle Übergriffe» sowie Bestände zu  «problematischen» Priestern. Bei den darin identifizierten Fällen handelt es  sich zweifelsfrei nur um die Spitze des Eisbergs: Zahlreiche Archive konnten im  vergangenen Jahr nicht ausgewertet werden, darunter eine Vielzahl von Archi­ ven von Ordensgemeinschaften, Dokumente aus der Arbeit von diözesanen Gre­ mien, aber auch Bestände von katholischen Schulen, Internaten und Heimen.7  Zudem lag der Fokus auf kirchlichen Archiven, staatliche Archive wurden nur  ergänzend berücksichtigt.8 In diesen dürften weitere Fälle von Missbrauch do­ kumentiert sein, die bisher nicht erfasst werden konnten. Ein vollständiges Bild des Ausmasses sexuellen Missbrauchs im kirchlichen  Umfeld würde auch bei einer vollständigen Auswertung aller Archivbestände  nicht zu zeichnen sein. Tatsächlich haben längst nicht alle Fälle von sexuellem  Missbrauch noch heute auffindbare Spuren in den Archiven hinterlassen. Für  zwei Diözesen kann die Vernichtung von Akten belegt werden, in den anderen ist  aufgrund der Bestimmungen des kanonischen Rechts eine solche für bestimmte  Zeiträume ebenfalls anzunehmen. Es ist zudem teilweise belegt, dass Meldun­ gen von Betroffenen nicht konsequent schriftlich festgehalten wurden und dass  nicht alle Meldungen Eingang in die Archive gefunden haben.9 Aufgrund der Er­ kenntnisse aus der Dunkelfeldforschung ist schliesslich davon auszugehen, dass  nicht eruierbar. Für die Auswertung des Tatzeitpunkts wurde jeweils der früheste Zeitpunkt berücksich­ tigt, an dem der Missbrauch stattfand, auch wenn sich dieser über mehrere Jahre erstreckte. 6	 Frauen als Täterinnen bei sexuellem Missbrauch (an Kindern) blieben bislang von der Forschung  praktisch unbeachtet. Das ändert sich seit wenigen Jahren. Vgl. Unabhängige Kommission zur Aufarbei­ tung sexuellen Kindesmissbrauchs, Kindesmissbrauch durch Frauen. 7	 Aufgrund der angewandten Methoden sowie der beschränkten Quellenauswertung können die vor­ läufigen Fallzahlen nicht mit denen aus anderen Forschungsprojekten, etwa mit denjenigen aus Frank­ reich oder Portugal, verglichen werden. So nutzten beispielsweise sowohl die französische als auch die  portugiesische Studie neben qualitativen auch quantitative Methoden. Vgl. CIASE, Violences sexuelles  France 1950–2020; Comissão Independente para o Estudo dos Abusos Sexuais de Crianças na Igreja Católi­ ca Portuguesa, Dar voz ao silêncio; Rössler, Portugals Bischöfe geben Zugang zu Archiven, in: Frankfurter  Allgemeine Zeitung, 12.02.2022. 8	 Eine Ausnahme bildet das Bistum Lugano: Hier wurden, aufgrund des geringen Umfangs kirchlicher  Bestände zu sexuellem Missbrauch, bereits erste Recherchen in nicht-kirchlichen Archiven vorgenom­ men. 9	 Z. B. Meldung von der betroffenen Person L. T. an das Bistum Basel 2008. Siehe dazu auch Kapitel 3. 

#######################

Seite 18

Bericht zum Pilotprojekt zur Geschichte sexuellen Missbrauchs im Umfeld  der römisch-katholischen Kirche in der Schweiz seit Mitte des 20. Jahrhunderts 18 In Rückgriff auf diese Diskussion, aber auch in Bezugnahme auf die Begriffs­ wahl der Betroffenenorganisationen stützt sich die vorliegende Untersuchung  hauptsächlich auf den Begriff des «sexuellen Missbrauchs».19 Dieser Begriff wird  darüber hinaus auch im allgemeinen Sprachgebrauch und in den öffentlichen  Diskussionen zum Thema häufig verwendet.20 Trotzdem ist er nicht einfach zu  fassen: In der Forschungsliteratur werden verschiedene Definitionen diskutiert,  die von «engen» bis «weiten» und von «normativen» bis «klinischen» Definitio­ nen reichen und entsprechend unterschiedliche Handlungen und Situationen  umfassen.21 ",,,,,,,,,,,,,,,,,
52,5216,5221,CATMA_511EE28C-382F-4F29-BE49-73A630443129,Ganz ,CATMA_67B0B767-95AF-4E92-8AF3-C3096A5721D0,Definition,Mhuerten,2025-07-15T16:02:23.617+0200,-5367143,,,,,,,,,,,,
53,5216,5221,S-2,Ganz ,CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3,Start,Mhuerten,2025-07-15T15:59:56.430+0200,-399266,,,,,,,,,,,,
54,5216,5221,CATMA_CC18D3DC-9DDB-4BCA-AC3C-7F740530B667,Ganz ,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T16:00:38.677+0200,-13239067,,,,,,,,,,,,
55,5221,5312,CATMA_511EE28C-382F-4F29-BE49-73A630443129,"allgemein kann der Begriff des «sexuellen Missbrauchs» so de­ finiert werden, dass er alle ",CATMA_67B0B767-95AF-4E92-8AF3-C3096A5721D0,Definition,Mhuerten,2025-07-15T16:02:23.617+0200,-5367143,,,,,,,,,,,,
56,5221,5312,CATMA_CC18D3DC-9DDB-4BCA-AC3C-7F740530B667,"allgemein kann der Begriff des «sexuellen Missbrauchs» so de­ finiert werden, dass er alle ",CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T16:00:38.677+0200,-13239067,,,,,,,,,,,,
57,5312,5423,CATMA_511EE28C-382F-4F29-BE49-73A630443129,"Taten umfasst, die das sexuelle Selbstbestimmungs­ recht von Menschen verletzen. Zentral ist hierbei, dass der ",CATMA_67B0B767-95AF-4E92-8AF3-C3096A5721D0,Definition,Mhuerten,2025-07-15T16:02:23.617+0200,-5367143,,,,,,,,,,,,
58,5312,5423,CATMA_CC18D3DC-9DDB-4BCA-AC3C-7F740530B667,"Taten umfasst, die das sexuelle Selbstbestimmungs­ recht von Menschen verletzen. Zentral ist hierbei, dass der ",CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T16:00:38.677+0200,-13239067,,,,,,,,,,,,
59,5423,5496,CATMA_511EE28C-382F-4F29-BE49-73A630443129,Begriff in der vorlie­ genden Untersuchung auch auf Übergriffe gegenüber ,CATMA_67B0B767-95AF-4E92-8AF3-C3096A5721D0,Definition,Mhuerten,2025-07-15T16:02:23.617+0200,-5367143,,,,,,,,,,,,
60,5423,5496,CATMA_CC18D3DC-9DDB-4BCA-AC3C-7F740530B667,Begriff in der vorlie­ genden Untersuchung auch auf Übergriffe gegenüber ,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T16:00:38.677+0200,-13239067,,,,,,,,,,,,
61,5496,5508,CATMA_511EE28C-382F-4F29-BE49-73A630443129,Erwachsenen ,CATMA_67B0B767-95AF-4E92-8AF3-C3096A5721D0,Definition,Mhuerten,2025-07-15T16:02:23.617+0200,-5367143,,,,,,,,,,,,
62,5496,5508,CATMA_CC18D3DC-9DDB-4BCA-AC3C-7F740530B667,Erwachsenen ,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T16:00:38.677+0200,-13239067,,,,,,,,,,,,
63,5496,5508,CATMA_1688E58B-BB38-4B81-BA7C-4809AC44249A,Erwachsenen ,CATMA_EE521272-8EC0-40AC-968A-7EFB4F8B21F5,erwachsen,Mhuerten,2025-07-15T16:00:58.405+0200,-725551,,,,,,,,,,,,
64,5508,5535,CATMA_511EE28C-382F-4F29-BE49-73A630443129,"angewandt  wird, sich also ",CATMA_67B0B767-95AF-4E92-8AF3-C3096A5721D0,Definition,Mhuerten,2025-07-15T16:02:23.617+0200,-5367143,,,,,,,,,,,,
65,5508,5535,CATMA_CC18D3DC-9DDB-4BCA-AC3C-7F740530B667,"angewandt  wird, sich also ",CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T16:00:38.677+0200,-13239067,,,,,,,,,,,,
66,5535,5566,CATMA_511EE28C-382F-4F29-BE49-73A630443129,nicht nur auf solche gegenüber ,CATMA_67B0B767-95AF-4E92-8AF3-C3096A5721D0,Definition,Mhuerten,2025-07-15T16:02:23.617+0200,-5367143,,,,,,,,,,,,
67,5535,5566,CATMA_CC18D3DC-9DDB-4BCA-AC3C-7F740530B667,nicht nur auf solche gegenüber ,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T16:00:38.677+0200,-13239067,,,,,,,,,,,,
68,5566,5580,CATMA_511EE28C-382F-4F29-BE49-73A630443129,Minderjährige ,CATMA_67B0B767-95AF-4E92-8AF3-C3096A5721D0,Definition,Mhuerten,2025-07-15T16:02:23.617+0200,-5367143,,,,,,,,,,,,
69,5566,5580,CATMA_0EDC3733-B014-4921-AB47-E63DD02B8738,Minderjährige ,CATMA_6B79399D-5227-4BAC-87F4-8ACBFC243998,Minderjährigkeit nicht spezifiziert,Mhuerten,2025-07-15T16:01:38.478+0200,-14472051,,,,,,,,,,,,
70,5566,5580,CATMA_CC18D3DC-9DDB-4BCA-AC3C-7F740530B667,Minderjährige ,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T16:00:38.677+0200,-13239067,,,,,,,,,,,,
71,5580,5589,CATMA_511EE28C-382F-4F29-BE49-73A630443129,beschränk,CATMA_67B0B767-95AF-4E92-8AF3-C3096A5721D0,Definition,Mhuerten,2025-07-15T16:02:23.617+0200,-5367143,,,,,,,,,,,,
72,5580,5589,CATMA_CC18D3DC-9DDB-4BCA-AC3C-7F740530B667,beschränk,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T16:00:38.677+0200,-13239067,,,,,,,,,,,,
73,5589,5590,CATMA_511EE28C-382F-4F29-BE49-73A630443129,t,CATMA_67B0B767-95AF-4E92-8AF3-C3096A5721D0,Definition,Mhuerten,2025-07-15T16:02:23.617+0200,-5367143,,,,,,,,,,,,
74,5590,6147,no_annotation_3,".22 Die Definition dieses Selbstbestimmungsrechts war historischen Verände­ rungen ausgesetzt und «sexuelle Selbstbestimmung» wird juristisch als Begriff  erst seit einigen Jahrzehnten verwendet.23 Diesen historischen Kontext muss  eine Untersuchung zu sexuellem Missbrauch in der katholischen Kirche grund­ sätzlich mitdenken. Wichtig bei der Analyse von sexuellem Missbrauch in einem  religiösen Kontext ist zudem, dass die Grenze zu einvernehmlichen Beziehun­ gen, beziehungsweise freiwilligen sexuellen Kontakten, nicht immer eindeutig  ist. Zahlreiche ",,,,,,,,,,,,,,,,,
75,6147,6156,CATMA_B8F950FE-87D0-401F-9FEE-8EE799437A7E,Priester ,CATMA_C5C97E2C-3134-4D0E-B852-01932DB00047,Kleriker,Mhuerten,2025-07-15T16:03:36.271+0200,-7143428,,,,,,,,,,,,
76,6156,6270,no_annotation_4,haben sich im Untersuchungszeitraum nicht an ihr Ge­ lübde des Zölibats gehalten und sexuelle Beziehungen gelebt. ,,,,,,,,,,,,,,,,,
77,6270,6277,CATMA_D8FC13FB-C78E-4D76-930B-AE9BE9CA6ED8,Gerade ,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T16:03:57.435+0200,-13239067,,,,,,,,,,,,
78,6277,6285,CATMA_D8FC13FB-C78E-4D76-930B-AE9BE9CA6ED8,Priester,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T16:03:57.435+0200,-13239067,,,,,,,,,,,,
79,6277,6285,CATMA_943A238C-CECD-4013-8B5B-3EF1F4226D4A,Priester,CATMA_C5C97E2C-3134-4D0E-B852-01932DB00047,Kleriker,Mhuerten,2025-07-15T16:04:08.526+0200,-7143428,,,,,,,,,,,,
80,6285,6294,CATMA_D8FC13FB-C78E-4D76-930B-AE9BE9CA6ED8,",  welche",CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T16:03:57.435+0200,-13239067,,,,,,,,,,,,
81,6294,6295,CATMA_977D880A-4CEC-47D5-8445-380735102E9F, ,CATMA_694236AD-35A4-493B-B295-5526303EA538,Pfarrei,Mhuerten,2025-07-15T16:04:37.084+0200,-8672679,,,,,,,,,,,,
82,6294,6295,CATMA_D8FC13FB-C78E-4D76-930B-AE9BE9CA6ED8, ,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T16:03:57.435+0200,-13239067,,,,,,,,,,,,
83,6295,6311,CATMA_9BA262C8-977C-487B-9CF2-3299470189A7,seelsorgerische ,CATMA_735C6CB0-F0F4-4073-B0CA-F6A43923776B,Kategoriale Seelsorge,Mhuerten,2025-07-15T16:04:49.573+0200,-2492805,,,,,,,,,,,,
84,6295,6311,CATMA_977D880A-4CEC-47D5-8445-380735102E9F,seelsorgerische ,CATMA_694236AD-35A4-493B-B295-5526303EA538,Pfarrei,Mhuerten,2025-07-15T16:04:37.084+0200,-8672679,,,,,,,,,,,,
85,6295,6311,CATMA_D8FC13FB-C78E-4D76-930B-AE9BE9CA6ED8,seelsorgerische ,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T16:03:57.435+0200,-13239067,,,,,,,,,,,,
86,6311,6319,CATMA_9BA262C8-977C-487B-9CF2-3299470189A7,Aufgaben,CATMA_735C6CB0-F0F4-4073-B0CA-F6A43923776B,Kategoriale Seelsorge,Mhuerten,2025-07-15T16:04:49.573+0200,-2492805,,,,,,,,,,,,
