,end,id,start,text,catma_displaycolor,catma_markupauthor,catma_markuptimestamp,tag_type,tag_type_id,Art,Belegung,text_name,Primary_class,Secondary_class
10,16446,_4,16439,stellen,-9667700,Mhuerten,2025-06-13T16:41:59.293+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,Essen,Relevante Textstelle,
11,20751,_5,20747,kann,-9667700,Mhuerten,2025-06-13T16:44:29.767+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,Essen,Relevante Textstelle,
12,24538,_6,24531,bringen,-9667700,Mhuerten,2025-06-13T16:50:21.029+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,Essen,Relevante Textstelle,
13,26808,_7,26786,Entwicklungshemmnissen,-9667700,Mhuerten,2025-06-13T16:54:19.808+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,Essen,Relevante Textstelle,
14,7784,no_annotation_2,2008,". Zu dieser Gruppe gehören acht Diözesanpries- ter, ein Diakon, sechs Ordenspriester und vier weltliche Mitarbeiter. 2.1	 Zuordnung der Beschuldigten zu Personengruppen Bei der Zuordnung der Beschuldigten zu Personengruppen6 zeigt die weitere Analyse, dass die  prozentuale Verteilung sowohl bei der Miteinbeziehung der Rehabilitierten als auch wenn diese  nicht mit einbezogen sind, fast identisch bleibt. 5	 Bei den zehn Meldungen, die wir im Rahmen des Aufrufs des IPP von 2020 erhalten haben, wurden zusätzlich noch  zwei bisher nicht beschuldigte Kleriker genannt. Aufgrund unvollständiger Informationen, haben wir diese beiden  Kleriker nicht in die statistische Auswertung aufgenommen. 6	 Zu der Gruppe der Diözesanpriester wurden auch die fünf Priester gezählt, die in anderen (Erz-) Bistümer inkardiniert  waren bzw. sind und zweitweise im Bistum Essen eingesetzt wurden. 

#######################

Seite 56

56 gesetzt, soll N. aber im Dienst der Erzdiözese bleiben. Das Gehalt wird weitergeführt wie bisher.  Gruber informiert seinen Essener Kollegen mit Datum vom 28.01.1985 noch gesondert über die  Lage. Stüting antwortet am 18.02.1985 und bedankt sich für die „verständnisvolle und entgegen- kommende Behandlung seitens des Erzbischöflichen Ordinariats“. Immer hin gibt er auch seiner  Hoffnung Ausdruck, dass den betroffenen Jugendlichen kein bleibender Schaden erwächst und  dass Kaplan N. mit Hilfe seines Arztes die richtigen Konsequenzen zieht.  Am 24. März 1986 berichtet Gruber dem Essener Generalvikar schriftlich, dass die Anklage- schrift nun vorliege und den Vorwurf des sexuellen Missbrauchs von Kindern und mehrere Ver- gehen des sexuellen Missbrauchs von Schutzbefohlenen enthalte. Gruber gibt seiner Hoffnung  Ausdruck, dass eine Bewährungsstrafe möglich sein kann. Er begründet dies mit dem Sachver- ständigen-Gutachten, das voraussichtlich wegen „Störungen der Persönlichkeitsentwicklung in  dem fraglichen Bereich“ eine verminderte Schuldfähigkeit attestieren wird. Zum anderen sei N.  geständig. Der dritte genannte Grund macht die Verwobenheit der katholischen Kirche mit der  Zivilgesellschaft auf drastische Weise deutlich. Gruber schreibt: „Der vorsitzende Richter wird Herr B. sein. Er ist praktizierender Katholik, ein Bruder von (…)  dem (…) Vizepräsidenten im Zentralkomitee der deutschen Katholiken. Es besteht begründete  Hoffnung, daß alle Beteiligten jedes Aufsehen in der Öffentlichkeit vermeiden werden.“ Mithilfe eines katholischen Richters kann die Institution Kirche vor einem Skandal geschützt  werden. Stüting schreibt daraufhin an den „Lieben Herrn Kaplan“, er dürfe sicher sein, dass sein Hei- matbistum ihn nicht alleine lasse, „wie auch immer das Urteil lauten mag“. Am 18.06.1986 verurteilt das zuständige Amtsgericht N. zu 16 Monaten Freiheitsstrafe, die auf  fünf Jahre zur Bewährung ausgesetzt wird und zur Zahlung von 4000 Mark an die katholische Ju- gendfürsorge. Für die Berufsausübung wurden keine Auflagen gegeben. N. erklärte von sich aus,  keine Aufgaben in Jugendarbeit oder Schule übernehmen zu wollen. Er wolle „dieses gefährliche  Metier meiden“. (Brief von Gruber an Stüting vom 20.06.1986). Gruber schreibt weiter, es stelle  sich nun die Frage, wie es mit N. im Erzbistum München-Freising weitergehen könne. Er habe  da schon Ideen, müsse diese aber erst noch mit dem Kardinal besprechen. N. solle auf jeden Fall  die Therapie bei Dr. K. fortsetzen. Das Festhalten an der Verwendung von N. in der Seelsorge wird auch dadurch deutlich, dass bei  der Glaubenskongregation in Rom die Erlaubnis eingeholt wird, dass N. aufgrund seiner Alko- holkrankheit, die heilige Eucharistie ohne vergorenen Wein feiern darf. Am 03.10.1986 wird die  entsprechende Erlaubnis erteilt. Nach einem guten Jahr Einsatz in der Altenheim-Seelsorge wird  N. schon Ende 1987 wieder in einer Gemeinde eingesetzt. J. wird sein neues Wirkungsfeld, das  er ohne Einschränkungen (und ohne an seine Versicherung vor Gericht zu erinnern, dass er auf  Jugendarbeit und Schuldienst verzichten wolle) wahrnimmt. 

#######################

Seite 204

204 „Und wie oft hätte man ihn am Bahnhof gesehen, und wie oft hätte man ihn in eben diesem  Haus mit Jungen, angeblich Schulfreunden, Neffen, und man würde zusammen eine Pizza es- sen. Und es hätten doch alle gewusst. Und es wär doch schlicht gelogen zu sagen, dass das nicht  bekannt gewesen sei. Und beide Damen fanden das ganz schlimm.“ (Bistumsverantwortlicher) In einem hierarchischen System wie dem Bistum können die Mitarbeitenden auf den unte- ren Hierarchiestufen auch noch in den 1990er und 2000er Jahren ihre Vorgesetzten nicht an- schwärzen. Sie können noch nicht einmal ihr Wissen auf der Ebene von Gerüchten und Getu- schel teilen.  „…die beiden Herzen von Damen, obrigkeitstreu ist gar kein Ausdruck. Die (…) sind in einer  ganz anderen Generation großgeworden, das war die Generation, die dem Herrn Offizial noch  das Bütterchen geschmiert haben und alles getan haben. Und wenn die was nicht sagen sollten,  haben die nichts gesagt (…) und da haben die mit den anderen auch nicht drüber geredet. Das  lag gar nicht in deren – oder liegt gar nicht in deren Natur. Und zu versuchen, sie zu ermuntern  zu sprechen, auch in späteren Zeiten, wenn ihnen was nicht gefallen hat, ein ganz einfacher  Arbeitszusammenhang und ich versucht hab zu ermuntern, wenn das doch so und so einfacher  wäre, dann sprecht doch mal drüber. Lasst uns doch mal offen – das war nicht möglich.“ (Bis- tumsverantwortlicher) Vernebelungsstrategien Trotz der im Laufe der Jahre immer ungenierter ausgelebten Sexualität gelang es U. E. über einen  langen Zeitraum, seine Umgebung im Unklaren zu lassen. Er war unkonventionell – vor allem  als Priester – aber doch sehr bourgeois in seinem Lebensstil. ",,,,,,,,Essen,,
15,7789,E-2,7784,Dazu ,-399266,Mhuerten,2025-06-05T17:49:02.055+0200,Start,CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3,,,Essen,Relevante Textstelle,
16,7797,no_annotation_3,7789,kam ein ,,,,,,,,Essen,,
17,7837,CATMA_CFBEBF54-8376-4D23-9C11-0A3AE7520BBA,7797,zugewandtes Ver- halten gegenüber Frauen,-3261349,Mhuerten,2025-06-05T17:49:41.512+0200,unerheblich,CATMA_1374DE64-8337-41B4-A889-4661FF3E56D3,,,Essen,Framing der Taten,
18,7839,no_annotation_4,7837,. ,,,,,,,,Essen,,
19,7979,CATMA_C34B2F38-F0F1-4891-A511-F364D3A9F22D,7839,"Zeitzeuginnen berichten, dass U. E. gerne mit Frauen flirtete, dazu ein  guter Tänzer war und nicht den Eindruck vermittelte, er sei schwul:",-3237659,Mhuerten,2025-06-05T17:50:43.073+0200,Umfeld,CATMA_41E25707-120D-432A-8B27-0E0D8B0E02C4,,indirekt,Essen,Zitat,
20,7900,CATMA_823A8B67-67F6-4FBC-B105-71DC1FF61B16,7864,dass U. E. gerne mit Frauen flirtete,-8819905,Mhuerten,2025-06-05T17:52:29.453+0200,Sprache/Gesten/Aufforderungen,CATMA_EDCD3519-38C9-49EA-B042-3CBB9835B96A,,anzügliche Sprache,Essen,Tatbeschreibung,sexuell
21,7892,CATMA_0FAA011D-9C87-4114-AFC4-494E19E37859,7885,Frauen ,-13288961,Mhuerten,2025-06-05T17:53:51.520+0200,weiblich,CATMA_CC68784B-9178-4E0A-B4A0-5513728C0DB5,,,Essen,Geschlecht (Betroffene),
22,7891,CATMA_98146F40-B289-4A86-83B5-7BE52C8341D7,7885,Frauen,-725551,Mhuerten,2025-06-05T17:53:34.228+0200,erwachsen,CATMA_EE521272-8EC0-40AC-968A-7EFB4F8B21F5,,,Essen,Alter (Betroffene),
23,7978,CATMA_1AD860A1-B88B-412F-86A5-F14AB2B85650,7932," nicht den Eindruck vermittelte, er sei schwul",-15389907,Mhuerten,2025-06-05T17:52:55.659+0200,Vertuschung,CATMA_429E64D1-1625-42E3-AA70-C3A0E4AF5E8B,,,Essen,Handeln der Beschuldigten,
24,7980,no_annotation_5,7979, ,,,,,,,,Essen,,
25,8257,CATMA_43B6313D-025E-4A44-907D-ED7A2DCAAC63,7980,"„Der hatte wirklich eine Menge Wissen, ein hochbeweglicher Kopf, eine charmante Art. Der war  eigentlich immer ein bisschen flirty, aber ohne dabei irgendwie auch nur annähernd sowas  wie eine schwule Tanzmaus zu sein oder sowas. Der hatte echt Klasse, der hatte richtig Klasse",-3237659,Mhuerten,2025-06-11T12:41:52.667+0200,Umfeld,CATMA_41E25707-120D-432A-8B27-0E0D8B0E02C4,,direkt,Essen,Zitat,
26,8110,CATMA_C3572638-299A-4A22-9EA2-F94E2A1B695F,8104,flirty,-8819905,Mhuerten,2025-06-05T17:53:14.505+0200,Sprache/Gesten/Aufforderungen,CATMA_EDCD3519-38C9-49EA-B042-3CBB9835B96A,,anzügliche Sprache,Essen,Tatbeschreibung,sexuell
27,9141,no_annotation_6,8257,".“ So gelang es U. E., Mitarbeitende des Bistums Essen über seine tatsächlichen Zölibatsverstöße  und seine sexuelle Orientierung lange Zeit im Unklaren zu lassen. Dies nutzten die meisten sei- ner Kollegen und Kolleginnen sowie Vorgesetzten im Bistum, um sich und anderen gegenüber  immer wieder zu versichern, sie hätten von nichts gewusst und nie etwas mitbekommen.  Mit diesem verschwommenen Bild konnte U. E. auch seine promiskuitive Sexualität verschlei- ern. Diejenigen, die von seiner sexuellen Orientierung ahnten oder wussten, konnten sich zum  einen einreden, er habe ja einen festen Partner. Auch das widerspricht dem Zölibat, lässt sich  aber gut in eine bürgerliche Sicht auf Sexualität integrieren. Eine monogame Beziehung klingt  nach Ehe, nach einer gewissen Biederkeit, Verlässlichkeit und nicht nach sexueller Obsession.  

#######################

Seite 205

205 „",,,,,,,,Essen,,
28,9146,E-3,9141,Also ,-399266,Mhuerten,2025-06-11T12:46:05.095+0200,Start,CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3,,,Essen,Relevante Textstelle,
29,9282,CATMA_B59D7018-8A45-400C-B9FF-5EC37465B8DC,9141,"Also wenn R. nur den [Partner] gehabt hätte, hätte ich damit völlig problemlos leben können.  Ich kannte auch Priester, die hatten eine Frau.",-2197479,Mhuerten,2025-06-11T12:46:47.528+0200,Kirchenverantwortliche,CATMA_CEB4499C-C725-4EC8-B9A8-BE935C89C9F1,,direkt,Essen,Zitat,
30,9281,CATMA_982ED410-DE0E-478E-9372-2BEFDC354679,9234," Ich kannte auch Priester, die hatten eine Frau",-16039255,Mhuerten,2025-06-11T12:47:58.095+0200,Liebesbeziehung,CATMA_B1F08B14-5504-41F4-AFCF-E502CDB2EA9D,,,Essen,Framing der Taten,Verhältnis
31,9282,CATMA_AE0C332C-7DDC-4D7F-B838-3D47960FD1CB,9235,"Ich kannte auch Priester, die hatten eine Frau.",-3261349,Mhuerten,2025-06-11T12:48:14.166+0200,unerheblich,CATMA_1374DE64-8337-41B4-A889-4661FF3E56D3,,,Essen,Framing der Taten,
32,9310,no_annotation_7,9282,“ (Bistumsverantwortlicher) ,,,,,,,,Essen,,
33,9444,CATMA_050265D1-A9F0-41FF-8E94-FEF2C6DA1B81,9310,"Solch eine Art von Zölibatsverstoß ist in einer modernen, toleranten Auslegung mit dem pries- terlichen Leben in Einklang zu bringen. ",-3261349,Mhuerten,2025-06-11T12:54:43.023+0200,unerheblich,CATMA_1374DE64-8337-41B4-A889-4661FF3E56D3,,,Essen,Framing der Taten,
34,9345,CATMA_960A3D05-B8CB-448D-8AAF-751BDDD02A8F,9329,Zölibatsverstoß ,-9566039,Mhuerten,2025-06-11T12:54:25.155+0200,Zölibatsverstoß,CATMA_FF84C8AC-BA1D-4290-AAEB-8100EDC4076E,,,Essen,Framing der Taten,
35,9654,CATMA_A32AFE46-AAC3-4220-8BE5-59F7FEFC8316,9444,"Da diese Art von Sexualität unabhängig von der sexuel- len Orientierung auch für das Bistum Essen akzeptabel scheint, muss die Umgebung auch nicht  so krampfhaft wegsehen wie bei unverbrämter „Triebhaftigkeit“.",-3261349,Mhuerten,2025-06-11T12:55:16.026+0200,unerheblich,CATMA_1374DE64-8337-41B4-A889-4661FF3E56D3,,,Essen,Framing der Taten,
36,10043,no_annotation_8,9654," „Und vor allem, das ist dann so reduziert auf den leiblichen Moment von Sexualität und hat  im Grunde nicht den Zauber der umfassenden Annäherung von Menschen zueinander, auch  intellektuell, geistig, kognitiv, im Gespräch, in der Wahrnehmung der gesamten Persönlichkeit.  Es ist so reduziert auf das Objekthafte, das ist ja auch jenseits dieser juristischen Fragestellung.“  (Zeitzeug*in",,,,,,,,Essen,,
37,12907,no_annotation_9,10045,"7.5	 Umgang des Bistums Essen mit dem beschuldigten Priester Chronologische Darstellung der Ereignisse und der Handlungen der Bistumsverantwortlichen Nach der Hausdurchsuchung bei U. E. Ende Dezember 2009 greift die Bistumsspitze schnell und  kompromisslos durch. Die Führungskräfte im Generalvikariat werden teilweise im Weihnachts- urlaub informiert. Am 30.12.2009 findet in der Wohnung des Personaldezernenten ein Treffen  statt, bei dem die Rechtsanwältin des Bistums, der Pressereferent sowie U. E. und dessen Rechts- anwalt anwesend sind. Die Missbrauchsbeauftragte konnte nicht erreicht werden und wurde  durch den Personaldezernenten vertreten.  Letzterer verfasst unmittelbar nach dem Gespräch eine Notiz, in der er sich darüber entsetzt  zeigt, „mit welcher Ungeniertheit E. den ganzen Vorgang geschildert hat. Uns schien alles pein- licher zu sein als ihm selbst.“ Hier hält er bereits fest, dass der Bischof handeln solle und dass E.  auf „sein Kanonikat verzichten“ solle. A. gibt in dem Gespräch an, einen kurdischen Jugendlichen (16 Jahre) mehrmals in einer öf- fentlichen Toilette in Essen angesprochen zu haben, wobei es auch darum ging, ob sich der Junge  für Männer interessiere. Am 27.12.2009 habe E. den Jungen mit zu sich nach Hause genommen,  dort habe es unterschiedliche Handlungen (Streicheln, Küssen) gegeben, jedoch keinen „Oral-  oder Analverkehr“, wie E. betont. Nach 15 bis 20 Minuten habe der Jugendliche das Treffen been- det und E. habe ihm 25,– € gegeben, bevor dieser ging. Als Grund für sein Handeln gibt E. seine  Homosexualität an.  In einem Brief vom 31.12.2009 untersagt Bischof Overbeck E. „bis auf weiteres jeden öffentli- chen Auftritt, vor allem die Feier der heiligen Eucharistie und jeden Gottesdienstes“. Es sei der  Ausgang des weltlichen Verfahrens abzuwarten, wonach die Angelegenheit kirchenrechtlich zu  klären sei. Zu diesem Zeitpunkt war Bischof Overbeck erst seit zwei Monaten im Amt. 

#######################

Seite 231

231 te Strafe, sondern auch die zu diesem Zeitpunkt erlassene Strafe abbüßen müsste.  »	 Im Anschluss an die Urteilsverkündung und Versetzung von Pfarrer D. in das Erzbistum Köln  meldete sich am 02.03.1989 die Mutter eines weiteren, 10 Jahre alten Jungen, der bei Pfarrer  D. in seiner letzten Einsatzstelle im Bistum Münster in der Kommunionsgruppe war an den  Personaldezernenten im Bistum Münster. Sie schildert, wie Pfarrer D. versucht habe, mit  dem Jungen Zeit zu verbringen, ihn zu sich eingeladen habe, mit ihm schwimmen gehen  wollte, etc.. Der Junge sei öfter bei dem häufig nur mit einem Bademantel bekleideten Pfar- rer D. gewesen, der ihm einmal so das „schwimmen beibringen“ wollte, was jedoch durch  überraschenden Besuch unterbunden wurde. Sie bat auch um eine Möglichkeit, Pfarrer D.  kontaktieren zu können. Erzbistum Köln (1989–2002) und Bistum Essen (2002–2015) ",,,,,,,,Essen,,
38,13000,CATMA_894E7CFE-BD67-40F5-9728-D5C058562D99,12907,"Die Akten weisen nicht darauf hin, dass es in dieser Zeit zu weiteren Vorfällen gekommen sei.",-13331762,Mhuerten,2025-06-13T16:15:00.526+0200,Neutralisierung,CATMA_AAD93480-F647-491D-87E7-7C8CD1C9EF00,,,Essen,Handeln der Bistumsverantwortlichen,
39,12911,E-4,12907,Die ,-399266,Mhuerten,2025-06-13T16:14:19.917+0200,Start,CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3,,,Essen,Relevante Textstelle,
40,13052,no_annotation_10,13000,"  Allerdings stellte sich in den Interviews heraus, ",,,,,,,,Essen,,
41,13342,CATMA_1795A82D-0E9B-4E92-BF22-8DF56AC33FE0,13052,"dass Pfarrer D. mehrere Situationen forcierte, in  denen er sich Kindern und Erwachsenen gegenüber entblößte. Allein Situationen wie morgens  nackt die Rollläden im Wohnzimmer zu öffnen, während zu dieser Uhrzeit Schulkinder am Haus  vorbeilaufen, können als Exhibitionismus gedeutet werden",-14102855,Mhuerten,2025-06-13T16:17:21.525+0200,Entblößen des eigenen Körpers,CATMA_CADBBDE5-1D4C-473B-A28E-C0355B9D1424,,,Essen,Tatbeschreibung,sexuell
42,13067,CATMA_DC170E6B-696D-497A-A171-B559F21C071D,13057,Pfarrer D.,-7143428,Mhuerten,2025-06-13T16:15:15.585+0200,Kleriker,CATMA_C5C97E2C-3134-4D0E-B852-01932DB00047,,,Essen,Beschuldigte,
43,13124,CATMA_2921BCC0-AA03-4889-AC04-50834B7EC08A,13117,Kindern,-14472051,Mhuerten,2025-06-13T16:15:29.035+0200,Minderjährigkeit nicht spezifiziert,CATMA_6B79399D-5227-4BAC-87F4-8ACBFC243998,,,Essen,Alter (Betroffene),minderjährig
44,13125,CATMA_4C244579-43CF-47D9-8F87-BAD633AAA741,13117,Kindern ,-12849962,Mhuerten,2025-06-13T16:15:47.757+0200,unklar,CATMA_76B8CB6D-3A64-43A4-9962-48611A6D215E,,,Essen,Geschlecht (Betroffene),
45,13141,CATMA_3D54CC40-8D57-455F-8117-4AF6DCFB8EB0,13129,Erwachsenen ,-725551,Mhuerten,2025-06-13T16:15:41.268+0200,erwachsen,CATMA_EE521272-8EC0-40AC-968A-7EFB4F8B21F5,,,Essen,Alter (Betroffene),
46,13141,CATMA_C51B81EA-0ECF-490B-BC55-AF7CE91D02B2,13129,Erwachsenen ,-12849962,Mhuerten,2025-06-13T16:15:52.922+0200,unklar,CATMA_76B8CB6D-3A64-43A4-9962-48611A6D215E,,,Essen,Geschlecht (Betroffene),
47,13277,CATMA_B2FB8E18-52B9-47B8-8AA6-EB995FD2979B,13265,Schulkinder ,-14472051,Mhuerten,2025-06-13T16:17:34.511+0200,Minderjährigkeit nicht spezifiziert,CATMA_6B79399D-5227-4BAC-87F4-8ACBFC243998,,,Essen,Alter (Betroffene),minderjährig
48,13276,CATMA_EB8B9568-9438-451A-B2A9-3C8FB7AFC05F,13265,Schulkinder,-12849962,Mhuerten,2025-06-13T16:17:40.675+0200,unklar,CATMA_76B8CB6D-3A64-43A4-9962-48611A6D215E,,,Essen,Geschlecht (Betroffene),
49,13458,CATMA_34B68681-1A8C-4AA9-AF6F-915D1E88C6E0,13299," können als Exhibitionismus gedeutet werden, vor allem dann, wenn, wie sugge- riert, manche Kinder bewusst einen anderen Weg wählen und Pfarrer D.s Haus meiden",-13239067,Mhuerten,2025-06-13T16:18:23.359+0200,Missbrauch,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,,,Essen,Framing der Taten,
50,13458,CATMA_F136BD55-E2FD-4A49-B92E-1754F285CBC1,13384,manche Kinder bewusst einen anderen Weg wählen und Pfarrer D.s Haus meiden,-8577267,Mhuerten,2025-06-13T16:19:35.831+0200,Abwehr,CATMA_F8DD2F8A-7D68-4E27-A307-A9075DA5D7A5,,,Essen,Handeln der Betroffenen,
51,13397,CATMA_7F2591C4-D036-4834-86E4-CCE5F9145776,13391,Kinder,-14472051,Mhuerten,2025-06-13T16:19:21.063+0200,Minderjährigkeit nicht spezifiziert,CATMA_6B79399D-5227-4BAC-87F4-8ACBFC243998,,,Essen,Alter (Betroffene),minderjährig
52,13398,CATMA_61AB8421-8233-40A5-858F-8FF0A5F0BF12,13391,Kinder ,-12849962,Mhuerten,2025-06-13T16:18:36.327+0200,unklar,CATMA_76B8CB6D-3A64-43A4-9962-48611A6D215E,,,Essen,Geschlecht (Betroffene),
53,13624,no_annotation_11,13458,". Ein  wertvoller Hinweis, um diese Situation zu interpretieren ist, dass der Pfarrer direkt vor einer  Spielwiese und neben einem Kindergarten und Pfarrhaus gewohnt ",,,,,,,,Essen,,
54,15643,no_annotation_12,13627,". Auch ein Gutachten des  behandelnden Psychotherapeuten N. aus dem Jahre 1988 besagt, dass Pfarrer D. nach wie vor  über kein hinreichendes Unrechtsbewusstsein im Hinblick auf die erfolgten Straftaten verfügt  und die Verantwortung für seine Handlungen der Kirche oder dem Staat zuschiebt (als Stich- worte werden hier „Aufhebung des Zölibats“ sowie „Straffreiheit für Pädophilie“ genannt). In  Zusammenhang mit der Tatsache, dass Betroffene oft erst nach vielen Jahren ihre Erfahrung mit  sexualisierter Gewalt bekannt machen, kann es durchaus sein, dass in den nächsten Jahren und  Jahrzehnten weitere Meldungen gegen Pfarrer D. erfolgen werden.  8.4	 Kritische Ereignisse, Aufdeckungen und Aufdeckungspotenziale Im Laufe der Zeit gab es zahlreiche kritische Ereignisse und Aufdeckungen. Die Tatsache, dass  Pfarrer D. mehrfach verurteilt wurde und jahrelang in Therapie war, zeigt, dass es nicht an Auf- deckung gefehlt hat. Allerdings haben selbst diese Art der Offenlegung nicht dazu geführt, dass  Kinder und Jugendliche effektiv vor Pfarrer D. geschützt waren. Aus diesem Grund bleibt unklar,  wie viele weitere Aufdeckungspotenziale im Verborgenen bleiben. Da unsere Studie sich auf das  Bistum Essen bezieht, werden an dieser Stelle nur die kritischen Ereignisse, Aufdeckungen und  Aufdeckungspotenziale im Fall D. beleuchtet, die im direkten Zusammenhang mit dem Bistum  Essen stehen.  Kritisches Ereignis 1: Auf einer Geburtstagsfeier erfuhren Gemeindemitglieder aus der Gemeinde M. von einer Be- 

#######################

Seite 298

298 der Problematik, wurde es – fast ausschließlich individuumsbezogen – mit dem schwer zu fas- senden Konzept der „menschlichen Reifung“ oder mit Homosexualität und Zölibat assoziiert.  Insofern fand auch eine folgenschwere Exotisierung des Problems statt, weil der Fokus auf der  Identifikation des perversen sexuellen Missbrauchers lag, der in Gestalt des Priesteramtskandi- daten oder des geweihten Priesters dem Bistum eine Menge Schwierigkeiten bereiten könnte.  ",,,,,,,,Essen,,
55,15649,E-5,15643,Folgt ,-399266,Mhuerten,2025-06-13T16:40:15.728+0200,Start,CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3,,,Essen,Relevante Textstelle,
56,15816,no_annotation_13,15649,"man einzelnen Hinweisen aus den Interviews, so tut eine Erweiterung des Blicks auf se- xualisierte Gewalt im Kontext der Priesterausbildung nach wie vor dringend not: ",,,,,,,,Essen,,
57,15944,CATMA_CBA48403-95DC-41E2-B6A6-3DC233A68F5F,15816,"Es ist die Rede  von männerbündischen Atmosphären, die anfällig sind für die Verharmlosung von Sexismus  und Frauenfeindlichkeit",-8773168,Mhuerten,2025-06-13T16:45:16.152+0200,moralische Verurteilung,CATMA_841CE011-ADA3-4952-B2D4-B5EB4D515CB0,,,Essen,Framing der Taten,
