,start,end,id,text,tag_type_id,tag_type,catma_markupauthor,catma_markuptimestamp,catma_displaycolor,Belegung,Art,Bestimmung_Umfeld
10,4260,4270,CATMA_93EE5B3A-C165-4FE5-AF27-8DB29409A0CE,dass der  ,CATMA_651A25AF-4812-44F4-93CD-2E2762CA7948,Betroffene,Mhuerten,2025-06-14T18:27:41.345+0200,-15895942,indirekt,,
11,4260,4270,CATMA_69724621-D2F2-49BC-A370-474A76F469EC,dass der  ,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:31:57.899+0200,-2367366,,,
12,4270,4278,CATMA_2712EB22-43A6-4B30-9262-3C13E02D8E3D,Pfarrer ,CATMA_41E25707-120D-432A-8B27-0E0D8B0E02C4,Umfeld,Mhuerten,2025-06-14T18:27:55.803+0200,-3237659,indirekt,,
13,4270,4278,CATMA_2BA5C2FD-C740-4036-ACC0-ABE20BA75674,Pfarrer ,CATMA_694236AD-35A4-493B-B295-5526303EA538,Pfarrei,Mhuerten,2025-06-14T18:29:36.924+0200,-8672679,,,
14,4270,4278,CATMA_3499EB41-B87C-4E7F-AF32-DE01C8C01081,Pfarrer ,CATMA_C5C97E2C-3134-4D0E-B852-01932DB00047,Kleriker,Mhuerten,2025-06-14T18:28:12.182+0200,-7143428,,,
15,4270,4278,CATMA_1CDB46FD-65A5-4569-8A1B-F5D0BFBDE5D0,Pfarrer ,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-06-14T18:30:11.167+0200,-10110086,,,
16,4270,4278,CATMA_93EE5B3A-C165-4FE5-AF27-8DB29409A0CE,Pfarrer ,CATMA_651A25AF-4812-44F4-93CD-2E2762CA7948,Betroffene,Mhuerten,2025-06-14T18:27:41.345+0200,-15895942,indirekt,,
17,4270,4278,CATMA_69724621-D2F2-49BC-A370-474A76F469EC,Pfarrer ,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:31:57.899+0200,-2367366,,,
18,4278,4291,CATMA_2712EB22-43A6-4B30-9262-3C13E02D8E3D,"ins Haus kam,",CATMA_41E25707-120D-432A-8B27-0E0D8B0E02C4,Umfeld,Mhuerten,2025-06-14T18:27:55.803+0200,-3237659,indirekt,,
19,4278,4291,CATMA_2BA5C2FD-C740-4036-ACC0-ABE20BA75674,"ins Haus kam,",CATMA_694236AD-35A4-493B-B295-5526303EA538,Pfarrei,Mhuerten,2025-06-14T18:29:36.924+0200,-8672679,,,
20,4278,4291,CATMA_1CDB46FD-65A5-4569-8A1B-F5D0BFBDE5D0,"ins Haus kam,",CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-06-14T18:30:11.167+0200,-10110086,,,
21,4278,4291,CATMA_93EE5B3A-C165-4FE5-AF27-8DB29409A0CE,"ins Haus kam,",CATMA_651A25AF-4812-44F4-93CD-2E2762CA7948,Betroffene,Mhuerten,2025-06-14T18:27:41.345+0200,-15895942,indirekt,,
22,4278,4291,CATMA_69724621-D2F2-49BC-A370-474A76F469EC,"ins Haus kam,",CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:31:57.899+0200,-2367366,,,
23,4291,4306,CATMA_2712EB22-43A6-4B30-9262-3C13E02D8E3D, wenn ein Jahr ,CATMA_41E25707-120D-432A-8B27-0E0D8B0E02C4,Umfeld,Mhuerten,2025-06-14T18:27:55.803+0200,-3237659,indirekt,,
24,4291,4306,CATMA_1CDB46FD-65A5-4569-8A1B-F5D0BFBDE5D0, wenn ein Jahr ,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-06-14T18:30:11.167+0200,-10110086,,,
25,4291,4306,CATMA_93EE5B3A-C165-4FE5-AF27-8DB29409A0CE, wenn ein Jahr ,CATMA_651A25AF-4812-44F4-93CD-2E2762CA7948,Betroffene,Mhuerten,2025-06-14T18:27:41.345+0200,-15895942,indirekt,,
26,4291,4306,CATMA_69724621-D2F2-49BC-A370-474A76F469EC, wenn ein Jahr ,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:31:57.899+0200,-2367366,,,
27,4306,4356,CATMA_2712EB22-43A6-4B30-9262-3C13E02D8E3D,"lang kein Kind auf die Welt gekommen  war, um die ",CATMA_41E25707-120D-432A-8B27-0E0D8B0E02C4,Umfeld,Mhuerten,2025-06-14T18:27:55.803+0200,-3237659,indirekt,,
28,4306,4356,CATMA_1CDB46FD-65A5-4569-8A1B-F5D0BFBDE5D0,"lang kein Kind auf die Welt gekommen  war, um die ",CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-06-14T18:30:11.167+0200,-10110086,,,
29,4306,4356,CATMA_93EE5B3A-C165-4FE5-AF27-8DB29409A0CE,"lang kein Kind auf die Welt gekommen  war, um die ",CATMA_651A25AF-4812-44F4-93CD-2E2762CA7948,Betroffene,Mhuerten,2025-06-14T18:27:41.345+0200,-15895942,indirekt,,
30,4306,4356,CATMA_69724621-D2F2-49BC-A370-474A76F469EC,"lang kein Kind auf die Welt gekommen  war, um die ",CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:31:57.899+0200,-2367366,,,
31,4356,4361,CATMA_2712EB22-43A6-4B30-9262-3C13E02D8E3D,Frau ,CATMA_41E25707-120D-432A-8B27-0E0D8B0E02C4,Umfeld,Mhuerten,2025-06-14T18:27:55.803+0200,-3237659,indirekt,,
32,4356,4361,CATMA_1A67A890-8F86-47B7-B8A0-A0BF6208AAE2,Frau ,CATMA_EE521272-8EC0-40AC-968A-7EFB4F8B21F5,erwachsen,Mhuerten,2025-06-14T18:32:55.127+0200,-725551,,,
33,4356,4361,CATMA_1CDB46FD-65A5-4569-8A1B-F5D0BFBDE5D0,Frau ,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-06-14T18:30:11.167+0200,-10110086,,,
34,4356,4361,CATMA_93EE5B3A-C165-4FE5-AF27-8DB29409A0CE,Frau ,CATMA_651A25AF-4812-44F4-93CD-2E2762CA7948,Betroffene,Mhuerten,2025-06-14T18:27:41.345+0200,-15895942,indirekt,,
35,4356,4361,CATMA_69724621-D2F2-49BC-A370-474A76F469EC,Frau ,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:31:57.899+0200,-2367366,,,
36,4356,4361,CATMA_F893E0C1-3397-4CAB-BA23-36D20C1DA771,Frau ,CATMA_CC68784B-9178-4E0A-B4A0-5513728C0DB5,weiblich,Mhuerten,2025-06-14T18:33:41.360+0200,-13288961,,,
37,4361,4383,CATMA_2712EB22-43A6-4B30-9262-3C13E02D8E3D,zurecht- und auf ihre ,CATMA_41E25707-120D-432A-8B27-0E0D8B0E02C4,Umfeld,Mhuerten,2025-06-14T18:27:55.803+0200,-3237659,indirekt,,
38,4361,4383,CATMA_1CDB46FD-65A5-4569-8A1B-F5D0BFBDE5D0,zurecht- und auf ihre ,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-06-14T18:30:11.167+0200,-10110086,,,
39,4361,4383,CATMA_93EE5B3A-C165-4FE5-AF27-8DB29409A0CE,zurecht- und auf ihre ,CATMA_651A25AF-4812-44F4-93CD-2E2762CA7948,Betroffene,Mhuerten,2025-06-14T18:27:41.345+0200,-15895942,indirekt,,
40,4361,4383,CATMA_69724621-D2F2-49BC-A370-474A76F469EC,zurecht- und auf ihre ,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:31:57.899+0200,-2367366,,,
41,4383,4403,CATMA_2712EB22-43A6-4B30-9262-3C13E02D8E3D,Pflicht hinzuweisen.,CATMA_41E25707-120D-432A-8B27-0E0D8B0E02C4,Umfeld,Mhuerten,2025-06-14T18:27:55.803+0200,-3237659,indirekt,,
42,4383,4403,CATMA_1CDB46FD-65A5-4569-8A1B-F5D0BFBDE5D0,Pflicht hinzuweisen.,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-06-14T18:30:11.167+0200,-10110086,,,
43,4383,4403,CATMA_93EE5B3A-C165-4FE5-AF27-8DB29409A0CE,Pflicht hinzuweisen.,CATMA_651A25AF-4812-44F4-93CD-2E2762CA7948,Betroffene,Mhuerten,2025-06-14T18:27:41.345+0200,-15895942,indirekt,,
44,4383,4403,CATMA_69724621-D2F2-49BC-A370-474A76F469EC,Pflicht hinzuweisen.,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:31:57.899+0200,-2367366,,,
45,4403,4404,CATMA_93EE5B3A-C165-4FE5-AF27-8DB29409A0CE, ,CATMA_651A25AF-4812-44F4-93CD-2E2762CA7948,Betroffene,Mhuerten,2025-06-14T18:27:41.345+0200,-15895942,indirekt,,
46,4403,4404,CATMA_69724621-D2F2-49BC-A370-474A76F469EC, ,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:31:57.899+0200,-2367366,,,
47,4404,4407,no_annotation_2,  D,,,,,,,,
48,4407,4452,CATMA_10E2EA03-0896-43A8-9DEC-38B2E6F5F4A6,er Geburt folgte bis in die 1970er Jahre die ,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:36:35.131+0200,-2367366,,,
49,4452,4528,CATMA_10E2EA03-0896-43A8-9DEC-38B2E6F5F4A6,„öffentliche Aussegnung“ in der  Heimatpfarrei. Historikern zufolge mussten ,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:36:35.131+0200,-2367366,,,
50,4528,4608,CATMA_10E2EA03-0896-43A8-9DEC-38B2E6F5F4A6,dabei die Frauen – weil sie unrein  waren – auf Knien vor der Kirchentür warten ,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:36:35.131+0200,-2367366,,,
51,4608,4666,CATMA_10E2EA03-0896-43A8-9DEC-38B2E6F5F4A6,und dann auf Knien zum Hoch- altar vorrutschen und beten. ,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:36:35.131+0200,-2367366,,,
52,4666,4693,no_annotation_3,"Als alles überstanden war, ",,,,,,,,
53,4693,4706,CATMA_34FE54AE-A5CF-4651-93CB-9C4619808E5C,forderte der ,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-04-25T13:58:34.356+0200,-10110086,,,
54,4706,4713,CATMA_34FE54AE-A5CF-4651-93CB-9C4619808E5C,Pfarrer,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-04-25T13:58:34.356+0200,-10110086,,,
55,4706,4713,CATMA_9D4823E0-4FDF-46B2-A332-83B1A374FAA8,Pfarrer,CATMA_C5C97E2C-3134-4D0E-B852-01932DB00047,Kleriker,Mhuerten,2025-06-14T18:34:10.195+0200,-7143428,,,
56,4713,4719,CATMA_34FE54AE-A5CF-4651-93CB-9C4619808E5C,  die ,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-04-25T13:58:34.356+0200,-10110086,,,
57,4719,4725,CATMA_34FE54AE-A5CF-4651-93CB-9C4619808E5C,Frauen,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-04-25T13:58:34.356+0200,-10110086,,,
58,4719,4725,CATMA_D625F961-D0E4-40D3-9261-E5DF5E17E97E,Frauen,CATMA_CC68784B-9178-4E0A-B4A0-5513728C0DB5,weiblich,Mhuerten,2025-06-14T18:37:02.430+0200,-13288961,,,
59,4719,4725,CATMA_F1F08068-E5E5-408D-86B1-AEF8BCB7B993,Frauen,CATMA_EE521272-8EC0-40AC-968A-7EFB4F8B21F5,erwachsen,Mhuerten,2025-06-14T18:36:47.038+0200,-725551,,,
60,4725,4726,CATMA_34FE54AE-A5CF-4651-93CB-9C4619808E5C, ,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-04-25T13:58:34.356+0200,-10110086,,,
61,4725,4726,CATMA_F1F08068-E5E5-408D-86B1-AEF8BCB7B993, ,CATMA_EE521272-8EC0-40AC-968A-7EFB4F8B21F5,erwachsen,Mhuerten,2025-06-14T18:36:47.038+0200,-725551,,,
62,4726,4764,CATMA_34FE54AE-A5CF-4651-93CB-9C4619808E5C,"dann auf, das nächste Kind zu bekommen",CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-04-25T13:58:34.356+0200,-10110086,,,
63,4764,4815,no_annotation_4,". Es soll dabei nicht un- üblich gewesen sein, dass",,,,,,,,
64,4815,4816,CATMA_F9D424D1-F1B6-4CE0-BD53-706202203C6D, ,CATMA_CB3D856C-2196-4C71-A39A-BA3AF849F0A9,Penetration,Mhuerten,2025-07-10T15:12:49.357+0200,-5482776,Unter Druck/Zwang,,
65,4816,4820,CATMA_F9D424D1-F1B6-4CE0-BD53-706202203C6D,die ,CATMA_CB3D856C-2196-4C71-A39A-BA3AF849F0A9,Penetration,Mhuerten,2025-07-10T15:12:49.357+0200,-5482776,Unter Druck/Zwang,,
66,4816,4820,CATMA_34F48239-EFD0-4E49-81EF-CA8EDB9ECBC0,die ,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-04-25T13:59:13.382+0200,-10110086,,,
67,4820,4826,CATMA_8D648741-EE2E-4F67-96A9-64201BBD5F4E,Männer,CATMA_82A44BD7-8701-4E4B-8245-FEB4B4A8FA46,Nicht-Kleriker,Mhuerten,2025-06-14T18:34:50.657+0200,-13459949,,,
68,4820,4826,CATMA_F9D424D1-F1B6-4CE0-BD53-706202203C6D,Männer,CATMA_CB3D856C-2196-4C71-A39A-BA3AF849F0A9,Penetration,Mhuerten,2025-07-10T15:12:49.357+0200,-5482776,Unter Druck/Zwang,,
69,4820,4826,CATMA_34F48239-EFD0-4E49-81EF-CA8EDB9ECBC0,Männer,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-04-25T13:59:13.382+0200,-10110086,,,
70,4826,4827,CATMA_F9D424D1-F1B6-4CE0-BD53-706202203C6D, ,CATMA_CB3D856C-2196-4C71-A39A-BA3AF849F0A9,Penetration,Mhuerten,2025-07-10T15:12:49.357+0200,-5482776,Unter Druck/Zwang,,
71,4826,4827,CATMA_34F48239-EFD0-4E49-81EF-CA8EDB9ECBC0, ,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-04-25T13:59:13.382+0200,-10110086,,,
72,4827,4831,CATMA_F9D424D1-F1B6-4CE0-BD53-706202203C6D,die ,CATMA_CB3D856C-2196-4C71-A39A-BA3AF849F0A9,Penetration,Mhuerten,2025-07-10T15:12:49.357+0200,-5482776,Unter Druck/Zwang,,
73,4827,4831,CATMA_34F48239-EFD0-4E49-81EF-CA8EDB9ECBC0,die ,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-04-25T13:59:13.382+0200,-10110086,,,
74,4831,4837,CATMA_ADE21FBC-1D51-4B70-8C57-48E179856AAE,Frauen,CATMA_CC68784B-9178-4E0A-B4A0-5513728C0DB5,weiblich,Mhuerten,2025-06-14T18:35:06.655+0200,-13288961,,,
75,4831,4837,CATMA_F9D424D1-F1B6-4CE0-BD53-706202203C6D,Frauen,CATMA_CB3D856C-2196-4C71-A39A-BA3AF849F0A9,Penetration,Mhuerten,2025-07-10T15:12:49.357+0200,-5482776,Unter Druck/Zwang,,
76,4831,4837,CATMA_34F48239-EFD0-4E49-81EF-CA8EDB9ECBC0,Frauen,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-04-25T13:59:13.382+0200,-10110086,,,
77,4831,4837,CATMA_DA0E2C5F-BB5C-4F31-B47B-0ACD11A646D2,Frauen,CATMA_EE521272-8EC0-40AC-968A-7EFB4F8B21F5,erwachsen,Mhuerten,2025-06-14T18:34:57.228+0200,-725551,,,
78,4837,4877,CATMA_F9D424D1-F1B6-4CE0-BD53-706202203C6D, noch im Wochenbett zum  Verkehr zwangen,CATMA_CB3D856C-2196-4C71-A39A-BA3AF849F0A9,Penetration,Mhuerten,2025-07-10T15:12:49.357+0200,-5482776,Unter Druck/Zwang,,
79,4837,4877,CATMA_34F48239-EFD0-4E49-81EF-CA8EDB9ECBC0, noch im Wochenbett zum  Verkehr zwangen,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-04-25T13:59:13.382+0200,-10110086,,,
80,4877,4880,no_annotation_5,.  ,,,,,,,,
81,4880,4926,CATMA_56D9C06D-0E44-46DB-A085-886E444BD1EC,"Der Zwang für verheiratete Frauen, in der Ehe ",CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:36:08.021+0200,-2367366,,,
82,4926,5006,CATMA_56D9C06D-0E44-46DB-A085-886E444BD1EC,"möglichst viele Kinder auf die  Welt zu bringen, war somit auf ein katholisches,",CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:36:08.021+0200,-2367366,,,
83,5006,5063,CATMA_56D9C06D-0E44-46DB-A085-886E444BD1EC, gesellschaftlich akzeptiertes  und befolgtes Moralgebot ,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:36:08.021+0200,-2367366,,,
84,5063,5077,CATMA_56D9C06D-0E44-46DB-A085-886E444BD1EC,zurückzuführen,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:36:08.021+0200,-2367366,,,
85,5063,5077,,zurückzuführen,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,End,Mhuerten,2025-04-25T13:57:31.277+0200,-9667700,,,
86,5077,5078,CATMA_56D9C06D-0E44-46DB-A085-886E444BD1EC,.,CATMA_C530CE53-BC35-4E6E-83D6-C90A6663C0BB,spirituell,Mhuerten,2025-06-14T18:36:08.021+0200,-2367366,,,
87,5078,5355,no_annotation_6,"  Hinzu kam spezifisch in Südtirol die politisch bedingte Pflicht zum Erhalt der  Südtiroler Minderheit im Staat Italien, die auf deutsch- und ladinischsprachi- gen Nachwuchs angewiesen war.  

#######################

Seite 54

Westpfahl   Spilker   Wastl  München  - 43 -    ",,,,,,,,
88,5355,5358,B-2,Bei,CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3,Start,Mhuerten,2025-06-14T18:43:14.490+0200,-399266,,,
89,5358,5643,no_annotation_7," außerehelich geborenen Kindern wurden sowohl die Frau als auch das  Kind sozial ausgeschlossen und als minderwertig behandelt. So wurden au- ßerehelich geborene, oftmals in prekären wirtschaftlichen Verhältnissen le- bende, gesellschaftlich ausgegrenzte, mithin weitgehend schutzlose ",,,,,,,,
90,5643,5652,CATMA_72258679-64DB-46C9-83E2-3CB1A442A4F4,Mäd- chen,CATMA_CC68784B-9178-4E0A-B4A0-5513728C0DB5,weiblich,Mhuerten,2025-06-14T18:44:18.252+0200,-13288961,,,
91,5643,5652,CATMA_FFD03F6F-E154-4F31-AA4D-88F2CD929460,Mäd- chen,CATMA_FC6EDD7D-E034-4C5F-90CC-CFF5F2499E01,Alter unklar,Mhuerten,2025-06-14T18:43:54.666+0200,-11911038,implizit,,
92,5652,5671,no_annotation_8, nicht selten Opfer,,,,,,,,
93,5671,5672,CATMA_3C03FF79-249C-4CDE-ADD2-ABDB461BA036, ,CATMA_B03D4763-9E0C-4E2D-9ACA-DD358DA82669,nicht spezifizierte Taten,Mhuerten,2025-07-04T23:40:35.187+0200,-13101205,,,
94,5672,5687,CATMA_3C03FF79-249C-4CDE-ADD2-ABDB461BA036,sexualisierter ,CATMA_B03D4763-9E0C-4E2D-9ACA-DD358DA82669,nicht spezifizierte Taten,Mhuerten,2025-07-04T23:40:35.187+0200,-13101205,,,
95,5672,5687,CATMA_9883E2D5-7911-455B-82EC-341EB9234ACE,sexualisierter ,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-06-14T18:45:09.299+0200,-13239067,,,
96,5687,5693,CATMA_3C03FF79-249C-4CDE-ADD2-ABDB461BA036,Gewalt,CATMA_B03D4763-9E0C-4E2D-9ACA-DD358DA82669,nicht spezifizierte Taten,Mhuerten,2025-07-04T23:40:35.187+0200,-13101205,,,
97,5687,5693,CATMA_9883E2D5-7911-455B-82EC-341EB9234ACE,Gewalt,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-06-14T18:45:09.299+0200,-13239067,,,
98,5693,5708,no_annotation_9,", die sie sich ",,,,,,,,
99,5708,5775,CATMA_625C7667-469F-449D-BE37-D7AE82124069,aufgrund ihrer nied- rigen sozialen Stellung nie trauten anzuzeigen,CATMA_4B58BD11-F55C-4E4B-A09C-474BD5D22CE0,Meldung,Mhuerten,2025-06-14T18:45:47.257+0200,-5775611,,,
