,term,frequency,percentage
164,berichtete,2,0.172
165,mädchens,2,0.172
166,sexualisierter,2,0.172
167,schon,2,0.172
168,gibt,2,0.172
169,interview,2,0.172
170,ipp,2,0.172
171,gerüchte,2,0.172
172,verstorbenen,2,0.172
173,gemeindemitgliedern,2,0.172
174,kirche,2,0.172
175,domkapitular,2,0.172
176,dinge,2,0.172
177,drei,2,0.172
178,»guten,2,0.172
179,hirten«,2,0.172
180,erhalten,2,0.172
181,an-,2,0.172
182,sorgeberechtigten,2,0.172
183,karin,2,0.172
184,vorgängen,2,0.172
185,canisiuskolleg,2,0.172
186,meinde,2,0.172
187,dienst,2,0.172
188,warnte,2,0.172
189,dechant,2,0.172
190,übergriffe,2,0.172
191,voriges,1,0.086
192,jahr,1,0.086
193,freundliche,1,0.086
194,beziehun-,1,0.086
195,gen,1,0.086
196,cousinen,1,0.086
197,häuserin,1,0.086
198,herrn,1,0.086
199,pfar-,1,0.086
200,rers,1,0.086
201,leute,1,0.086
202,gewundert,1,0.086
203,war.“,1,0.086
204,aufzwinge].“,1,0.086
205,ei-,1,0.086
206,nem,1,0.086
207,kooperatorenbericht,1,0.086
208,„hat,1,0.086
209,vergangen,1,0.086
210,schulmädchen,1,0.086
211,fortiter,1,0.086
212,tan-,1,0.086
213,gendo,1,0.086
214,eius,1,0.086
215,pudendu,1,0.086
216,super,1,0.086
217,vestem,1,0.086
218,schola,1,0.086
219,anm,1,0.086
220,richterstatter,1,0.086
221,berührte,1,0.086
222,kräftig,1,0.086
223,schamgegend,1,0.086
224,kleidung,1,0.086
225,schule,1,0.086
226,scandalum,1,0.086
227,sprechen,1,0.086
228,gefertigter,1,0.086
229,ergebenst,1,0.086
230,er-,1,0.086
231,sucht.“,1,0.086
232,schwerdeschreiben,1,0.086
233,eindeutig,1,0.086
234,ab-,1,0.086
235,sender,1,0.086
236,folgendes,1,0.086
237,braut,1,0.086
238,gasthaus,1,0.086
239,öffentlich,1,0.086
240,bluse,1,0.086
241,gegriffen,1,0.086
242,gesagt,1,0.086
243,schöne,1,0.086
244,welt…,1,0.086
245,geschäft,1,0.086
246,angegrif-,1,0.086
247,fen…,1,0.086
248,nichte,1,0.086
249,mehrmals,1,0.086
250,abge-,1,0.086
251,griffen…,1,0.086
252,geklagt,1,0.086
253,nmittelbar,1,0.086
254,anschluss,1,0.086
255,kommt,1,0.086
256,unterzeichneten,1,0.086
257,dokument,1,0.086
258,hierzu,1,0.086
259,festgehalten,1,0.086
260,4,1,0.086
261,umgang,1,0.086
262,skandalös,1,0.086
263,greift,1,0.086
264,überall,1,0.086
265,…]“,1,0.086
266,fünf,1,0.086
267,1980er,1,0.086
268,kam,1,0.086
269,undatierten,1,0.086
270,absender,1,0.086
271,eheprobleme,1,0.086
272,sexualfragen,1,0.086
273,warum,1,0.086
274,verhältnis,1,0.086
275,häuse-,1,0.086
276,rin.“,1,0.086
277,zuständige,1,0.086
278,dekan,1,0.086
279,bischöfliche,1,0.086
280,ordina-,1,0.086
281,riat,1,0.086
282,1960er,1,0.086
283,nachtlokalen,1,0.086
284,„buben“,1,0.086
285,zusammen,1,0.086
286,solle,1,0.086
287,nacht,1,0.086
288,vier,1,0.086
289,uhr,1,0.086
290,besucht,1,0.086
291,meldet,1,0.086
292,witwe,1,0.086
293,meldete,1,0.086
294,angenommen,1,0.086
295,begonnen,1,0.086
296,neralvikar,1,0.086
297,erkenntnisse,1,0.086
298,aktivitäten,1,0.086
299,infor-,1,0.086
300,mieren,1,0.086
301,woraufhin,1,0.086
302,eingriff,1,0.086
303,seitens,1,0.086
304,bedenken,1,0.086
305,hinsichtlich,1,0.086
306,umgangs,1,0.086
307,mäd-,1,0.086
308,geäußert,1,0.086
309,beschwerten,1,0.086
310,gemeinde-,1,0.086
311,betreuten,1,0.086
312,pfarreien,1,0.086
313,beim,1,0.086
314,bischöfli-,1,0.086
315,„hang,1,0.086
316,weiblichen,1,0.086
317,geschlecht,1,0.086
318,einfach,1,0.086
319,verbergen“,1,0.086
320,könne,1,0.086
321,wandten,1,0.086
322,ort,1,0.086
323,geistlichen,1,0.086
324,beanstandeten,1,0.086
325,kontakt,1,0.086
326,„priesterliches,1,0.086
327,völlig“,1,0.086
328,zerstörten,1,0.086
329,verwunderung,1,0.086
330,ach,1,0.086
331,aufzwänge].“,1,0.086
332,zeit-,1,0.086
333,zeugin,1,0.086
334,vorwürfe,1,0.086
335,vertreters,1,0.086
336,jugendarbeit,1,0.086
337,1989,1,0.086
338,wendet,1,0.086
339,vertreter,1,0.086
340,tertiat,1,0.086
341,latein-,1,0.086
342,amerika,1,0.086
343,aufhält,1,0.086
344,jugendseelsorge,1,0.086
345,göttingen,1,0.086
346,folgenden,1,0.086
347,informationen,1,0.086
348,provinzial,1,0.086
349,höfer,1,0.086
350,verrückteste,1,0.086
351,viel-,1,0.086
352,leicht,1,0.086
353,kaputten,1,0.086
354,lebensmitteln,1,0.086
355,annäherungen,1,0.086
356,wussten,1,0.086
357,bzw,1,0.086
358,genauso,1,0.086
359,geschluckt,1,0.086
360,»hausöffentlich«,1,0.086
361,niemand,1,0.086
362,göttinger,1,0.086
363,regt,1,0.086
364,deutlicher,1,0.086
365,beliebt,1,0.086
366,scheint,1,0.086
367,1993,1,0.086
368,personen,1,0.086
369,namen,1,0.086
370,völlig,1,0.086
371,mexikanischen,1,0.086
372,t,1,0.086
373,sexuellem,1,0.086
374,einmaligen,1,0.086
375,ausrutscher,1,0.086
376,betrachtet,1,0.086
377,17.09.1997,1,0.086
378,schlittenfahrten,1,0.086
379,beschuldigten,1,0.086
380,aufgaben,1,0.086
381,leitet,1,0.086
382,mitarbeitenden,1,0.086
383,ehepaar,1,0.086
384,ging,1,0.086
385,aktive,1,0.086
386,ausführlichen,1,0.086
387,bericht,1,0.086
388,rechtsdirektor,1,0.086
389,ax,1,0.086
390,retrospektiv,1,0.086
391,davon,1,0.086
392,mögliche,1,0.086
393,unangemessene,1,0.086
394,näheverhältnisse,1,0.086
395,1999–2003,1,0.086
396,formuliert,1,0.086
397,kaplan,1,0.086
398,dekans,1,0.086
399,„seine,1,0.086
400,hildesheimer,1,0.086
401,bistums-,1,0.086
402,verantwortlichen,1,0.086
403,vertrauensseligkeit,1,0.086
404,schreer,1,0.086
405,heinz-günter,1,0.086
406,cum,1,0.086
407,mulieribus,1,0.086
408,verfasser,1,0.086
409,verdächtig,1,0.086
410,verfasserin,1,0.086
411,rechts-,1,0.086
412,anwältin,1,0.086
413,raue,1,0.086
414,»unter,1,0.086
415,teppich,1,0.086
416,gekehrt«,1,0.086
417,oft,1,0.086
418,information,1,0.086
419,kirchenverantwortliche,1,0.086
420,erfolgte,1,0.086
421,nerhalb,1,0.086
422,betroffenen,1,0.086
423,regte,1,0.086
424,rektor,1,0.086
425,canisiuskollegs,1,0.086
426,hans-georg,1,0.086
427,lachmund,1,0.086
428,länger,1,0.086
429,verleiht,1,0.086
430,24.01.1994,1,0.086
431,vermutung,1,0.086
432,ausdruck,1,0.086
433,verleumdung,1,0.086
434,mexikanische,1,0.086
435,handle,1,0.086
436,massiven,1,0.086
437,protest,1,0.086
438,gemeindemitglieder,1,0.086
439,scheitert,1,0.086
440,xempla-,1,0.086
441,risch,1,0.086
442,zulässig,1,0.086
443,kirchenvorstands,1,0.086
444,pfarrgemeinderates,1,0.086
445,hirte«,1,0.086
446,26.03.1994,1,0.086
447,genannt,1,0.086
448,schrieben,1,0.086
449,»es,1,0.086
450,bleibt,1,0.086
451,fakt,1,0.086
452,gerade,1,0.086
453,pater,1,0.086
454,bewegt,1,0.086
455,jahren,1,0.086
456,vorher,1,0.086
457,geschehen,1,0.086
458,sorge,1,0.086
459,sinti,1,0.086
460,roma,1,0.086
461,aufbau,1,0.086
462,der-,1,0.086
463,jugendgruppen,1,0.086
464,zimmer,1,0.086
465,ansätze,1,0.086
466,sakramentkatechese,1,0.086
467,ferienfreizeiten,1,0.086
468,zusammen-,1,0.086
469,einladungen,1,0.086
470,elisabethschule,1,0.086
471,u.a,1,0.086
472,förderung,1,0.086
473,projektes,1,0.086
474,petronella,1,0.086
475,chile,1,0.086
476,for-,1,0.086
477,gottesdienstgestaltung,1,0.086
478,winter,1,0.086
479,v,1,0.086
480,…«,1,0.086
481,selten,1,0.086
482,ausflüge,1,0.086
483,deutete,1,0.086
484,kom-,1,0.086
485,immer,1,0.086
486,märz,1,0.086
487,kürzlich,1,0.086
488,rabenstein,1,0.086
489,zivil,1,0.086
490,worden,1,0.086
491,„umgangsformen“,1,0.086
492,so-,1,0.086
493,persönlichen,1,0.086
494,offizial,1,0.086
495,aschemann,1,0.086
496,mitarbeiterinnen,1,0.086
497,kindestagesstätte,1,0.086
498,geäußerten,1,0.086
499,vorwürfen,1,0.086
500,gewalt,1,0.086
501,ersichtlich,1,0.086
502,volljährigen,1,0.086
503,„den,1,0.086
504,zuge,1,0.086
505,absetzung,1,0.086
506,haupt-,1,0.086
507,ehrenamtlichen,1,0.086
508,leuten,1,0.086
509,weitere,1,0.086
510,sexuelle,1,0.086
511,gang,1,0.086
512,gesetzt,1,0.086
513,berlin,1,0.086
514,zelebration,1,0.086
515,trauergottesdienstes,1,0.086
516,redereien“,1,0.086
517,gemeindereferenten,1,0.086
518,eingeladen,1,0.086
519,bö-,1,0.086
520,insbesondere,1,0.086
521,familie,1,0.086
522,verboten,1,0.086
523,hinaus,1,0.086
524,verantwortlich,1,0.086
525,betreten,1,0.086
526,3.08.2002,1,0.086
527,richtet,1,0.086
528,begehe,1,0.086
529,holst,1,0.086
530,hin-,1,0.086
531,weis,1,0.086
532,wonach,1,0.086
533,dreiwöchige,1,0.086
534,jugendfreizeit,1,0.086
535,frankreich,1,0.086
536,spanien,1,0.086
537,por-,1,0.086
538,tugal,1,0.086
539,durchgeführt,1,0.086
540,wirft,1,0.086
541,zusammenhang,1,0.086
542,frage,1,0.086
543,»wer,1,0.086
544,verantworten,1,0.086
545,will?«,1,0.086
546,resigniert,1,0.086
547,äußert,1,0.086
548,»aber,1,0.086
549,wahrscheinlich,1,0.086
550,mahne,1,0.086
551,„immer,1,0.086
552,vergeblich,1,0.086
553,hätte,1,0.086
554,wohl,1,0.086
555,chance,1,0.086
556,durchzuführen.«,1,0.086
557,ungeschicklichkeiten“,1,0.086
558,»merkwürdigen,1,0.086
559,beziehungen«,1,0.086
560,südamerikanischen,1,0.086
561,han-,1,0.086
562,nover,1,0.086
563,a,1,0.086
564,verbleib,1,0.086
565,schreibt,1,0.086
566,klage,1,0.086
567,„2,1,0.086
568,»das,1,0.086
569,erlebt,1,0.086
570,menschen,1,0.086
571,rande,1,0.086
572,gesellschaft,1,0.086
573,lebt,1,0.086
574,meinsam,1,0.086
575,essen,1,0.086
576,mahlzeit,1,0.086
577,weiteres,1,0.086
578,übertragbar,1,0.086
579,weiß,1,0.086
580,sicher,1,0.086
581,einfacher,1,0.086
582,mensch,1,0.086
583,vieles,1,0.086
584,tätigkeit,1,0.086
585,sagen,1,0.086
586,lässt,1,0.086
587,möglichkeit,1,0.086
588,wichtige,1,0.086
589,gesellschaft-,1,0.086
590,geradezu,1,0.086
591,modell,1,0.086
592,randgruppenarbeit,1,0.086
593,pfarrgemeinde,1,0.086
594,geleistet,1,0.086
595,kann.«,1,0.086
596,»mittagstisch«-initiative,1,0.086
597,erscheint,1,0.086
598,person,1,0.086
599,gewisse,1,0.086
600,grandiosität,1,0.086
601,zugeschrieben,1,0.086
602,»(anton,1,0.086
603,nenne,1,0.086
604,heute,1,0.086
605,meisten,1,0.086
606,meindemitglieder,1,0.086
607,setze,1,0.086
608,pädagogischen,1,0.086
609,therapeutischen,1,0.086
610,fähigkeiten,1,0.086
611,z,1,0.086
612,alkoholabhängige,1,0.086
613,clean,1,0.086
614,nachricht,1,0.086
615,möglicherweisen,1,0.086
616,abruf,1,0.086
617,lichen,1,0.086
618,tons,1,0.086
619,folge,1,0.086
620,dauerdelirium,1,0.086
621,unauffindbar,1,0.086
622,sind.«,1,0.086
623,hinweise,1,0.086
624,ehepaars,1,0.086
625,fi-,1,0.086
626,nanzgebaren,1,0.086
627,sexualisierte,1,0.086
628,grenzverletzungen,1,0.086
629,beziehen,1,0.086
630,vorwurf,1,0.086
631,bestand,1,0.086
632,lateinamerikanischen,1,0.086
633,sexuell,1,0.086
634,grenzverletzend,1,0.086
635,in-,1,0.086
636,sofern,1,0.086
637,deren,1,0.086
638,proteste,1,0.086
639,letztlich,1,0.086
640,erfolg,1,0.086
641,führten,1,0.086
642,verständlich,1,0.086
643,nachvollziehbar,1,0.086
644,ie,1,0.086
645,rechte,1,0.086
646,mass,1,0.086
647,melden,1,0.086
648,miss-,1,0.086
649,hannoveraner,1,0.086
650,bitten,1,0.086
651,25.11.2010,1,0.086
652,suchen,1,0.086
653,findet,1,0.086
654,beisein,1,0.086
655,damaligen,1,0.086
656,missbrauchsbeauftragten,1,0.086
657,statt,1,0.086
658,veröffentlichungen,1,0.086
659,medien,1,0.086
660,hinausrast,1,0.086
661,wobei,1,0.086
662,empör-,1,0.086
663,anhänger*innen,1,0.086
664,eng,1,0.086
665,befreundeten,1,0.086
666,presseberichte,1,0.086
667,anrufe,1,0.086
668,nachfragen,1,0.086
669,presse,1,0.086
670,anschuldigungen,1,0.086
671,glauben,1,0.086
672,son-,1,0.086
673,üble,1,0.086
674,nachrede,1,0.086
675,einordnen,1,0.086
676,lehrerin,1,0.086
677,handelt,1,0.086
678,sinne,1,0.086
679,februar,1,0.086
680,jahres,1,0.086
681,veröffentlichten,1,0.086
682,»ausfüh-,1,0.086
683,rungsbestimmungen,1,0.086
684,vorgehen,1,0.086
685,situationen,1,0.086
686,minderjähriger,1,0.086
687,geistliche,1,0.086
688,ergeben,1,0.086
689,bistums,1,0.086
690,hildesheim«,1,0.086
691,reagiert,1,0.086
692,schnellstmöglich,1,0.086
693,»alle,1,0.086
694,mitarbeiterin-,1,0.086
695,nen,1,0.086
696,mitarbeiter,1,0.086
697,kirchlichen,1,0.086
698,verpflichtet,1,0.086
699,fälle,1,0.086
700,missbrauchs,1,0.086
701,minderjähri,1,0.086
702,schweigt,1,0.086
703,loyalität,1,0.086
704,nachfolger,1,0.086
705,ton,1,0.086
706,informierte,1,0.086
707,vater,1,0.086
708,dechanten,1,0.086
709,priesterliche,1,0.086
710,ehemalige,1,0.086
711,zerstören,1,0.086
712,verlauf,1,0.086
713,se-,1,0.086
714,xuell,1,0.086
715,missbraucht,1,0.086
716,befreundet,1,0.086
717,3,1,0.086
718,kenntnis,1,0.086
719,geraten,1,0.086
720,klären,1,0.086
721,nachdem,1,0.086
722,klärung,1,0.086
723,mög-,1,0.086
724,lich,1,0.086
725,leitete,1,0.086
726,chat-protokolle,1,0.086
727,erzbistum,1,0.086
728,köln,1,0.086
729,ur,1,0.086
730,wenige,1,0.086
731,wochen,1,0.086
732,sagte,1,0.086
733,mitglied,1,0.086
734,fachgremiums,1,0.086
735,1990er,1,0.086
736,erwähnten,1,0.086
737,kinder­,1,0.086
738,heim,1,0.086
739,gearbeitet,1,0.086
740,erzählungen,1,0.086
741,brauchsbeauftragten,1,0.086
