,term,frequency,percentage
360,gezogen,1,0.112
361,oberleibsbereich,1,0.112
362,abgetastet,1,0.112
363,ha-,1,0.112
364,be,1,0.112
365,unsittlich,1,0.112
366,altar,1,0.112
367,belästigt,1,0.112
368,»sehr,1,0.112
369,nah«,1,0.112
370,aufgefordert,1,0.112
371,setzen,1,0.112
372,merkt,1,0.112
373,bewegt,1,0.112
374,wandert,1,0.112
375,vorrutschen,1,0.112
376,unterm,1,0.112
377,pullover,1,0.112
378,finger,1,0.112
379,scheide,1,0.112
380,einge-,1,0.112
381,führt,1,0.112
382,beten,1,0.112
383,küsse,1,0.112
384,forderte,1,0.112
385,nächste,1,0.112
386,bekommen,1,0.112
387,zubettgehen,1,0.112
388,zwang,1,0.112
389,verheiratete,1,0.112
390,ehe,1,0.112
391,möglichst,1,0.112
392,viele,1,0.112
393,bringen,1,0.112
394,somit,1,0.112
395,katholisches,1,0.112
396,gesellschaftlich,1,0.112
397,zunehmend,1,0.112
398,verwahrlosten,1,0.112
399,amtsführung,1,0.112
400,unregelmäßigkeiten,1,0.112
401,akzeptiertes,1,0.112
402,dreisten,1,0.112
403,bemer-,1,0.112
404,kungen,1,0.112
405,»grabbelanton«,1,0.112
406,»angegrabbelt«,1,0.112
407,befolgtes,1,0.112
408,hinaus,1,0.112
409,moralgebot,1,0.112
410,junge,1,0.112
411,zurückzuführen,1,0.112
412,wohnung,1,0.112
413,pfarrers,1,0.112
414,pornohefte,1,0.112
415,herumlagen,1,0.112
416,merkwürdige,1,0.112
417,teils,1,0.112
418,massive,1,0.112
419,homosexuelle,1,0.112
420,da-,1,0.112
421,anbefohlenen,1,0.112
422,belästigung,1,0.112
423,übergriffen,1,0.112
424,exua-,1,0.112
425,lisierten,1,0.112
426,maligem,1,0.112
427,ausbeutete,1,0.112
428,undurchsichtiges,1,0.112
429,fi-,1,0.112
430,nanzgebaren,1,0.112
431,heutigem,1,0.112
432,ei-,1,0.112
433,ner,1,0.112
434,teure,1,0.112
435,damaligem,1,0.112
436,befinden,1,0.112
437,beispielsweise,1,0.112
438,sieben,1,0.112
439,autos,1,0.112
440,wein,1,0.112
441,luxuskaufhäusern,1,0.112
442,wert,1,0.112
443,mehreren,1,0.112
444,tau-,1,0.112
445,send,1,0.112
446,d-mark,1,0.112
447,instanz,1,0.112
448,geben,1,0.112
449,schien,1,0.112
450,oft,1,0.112
451,kontrolliert,1,0.112
452,hätte,1,0.112
453,weder,1,0.112
454,haushaltsbuch,1,0.112
455,haushaltsplan,1,0.112
456,gab,1,0.112
457,buchführung,1,0.112
458,protokollbuch,1,0.112
459,kirchenvorstands,1,0.112
460,leer,1,0.112
461,geblieben,1,0.112
462,äußert,1,0.112
463,interview,1,0.112
464,ein-,1,0.112
465,druck,1,0.112
466,teuren,1,0.112
467,»system,1,0.112
468,belohnung«,1,0.112
469,errichtete,1,0.112
470,gemeinde,1,0.112
471,seite,1,0.112
472,standen,1,0.112
473,verstrickt,1,0.112
474,länger,1,0.112
475,vorhergehenden,1,0.112
476,aufdringlichkeiten,1,0.112
477,besuchen,1,0.112
478,enkeltochter,1,0.112
479,geschenke,1,0.112
480,eindringen,1,0.112
481,zulässig,1,0.112
482,einladungen,1,0.112
483,willen,1,0.112
484,opfers,1,0.112
485,legte,1,0.112
486,gleich,1,0.112
487,drauf,1,0.112
488,küsste,1,0.112
489,schob,1,0.112
490,fand,1,0.112
491,eklig,1,0.112
492,winter,1,0.112
493,schlittenfahrten,1,0.112
494,ersten,1,0.112
495,kontakten,1,0.112
496,gespräch,1,0.112
497,ipp,1,0.112
498,verleiht,1,0.112
499,k,1,0.112
500,ärger,1,0.112
501,ausdruck,1,0.112
502,dadurch,1,0.112
503,kopf,1,0.112
504,hinweg,1,0.112
505,»alle«,1,0.112
506,informiert,1,0.112
507,seien,1,0.112
508,gemeindemitglieder,1,0.112
509,machtmissbrauch,1,0.112
510,erlebt,1,0.112
511,intimes,1,0.112
512,verhältnis,1,0.112
513,schwangerschaftsabbruch,1,0.112
514,verschwinden,1,0.112
515,involviert,1,0.112
516,se,1,0.112
517,„packen,1,0.112
518,hintern“,1,0.112
519,„begreifen,1,0.112
520,kleinen,1,0.112
521,messdienerinnen“,1,0.112
522,annäherungsversuch,1,0.112
523,selten,1,0.112
524,geburt,1,0.112
525,im-,1,0.112
526,mer,1,0.112
527,intensiver,1,0.112
528,anfing,1,0.112
529,t-shirt,1,0.112
530,hen,1,0.112
531,berühren,1,0.112
532,intimen,1,0.112
533,genitalbe-,1,0.112
534,reich,1,0.112
535,beziehung,1,0.112
536,minderjähriger,1,0.112
537,stirn,1,0.112
538,schulalltag,1,0.112
539,genstand,1,0.112
540,chat-verläufe,1,0.112
541,alter,1,0.112
542,14/15,1,0.112
543,beschuldigte,1,0.112
544,eigenen,1,0.112
545,liebesbeziehung,1,0.112
546,entwickelt,1,0.112
547,brauchs,1,0.112
548,erst,1,0.112
549,zweier,1,0.112
550,16-jähriger,1,0.112
551,gelangen,1,0.112
552,bekannt,1,0.112
553,wurde,1,0.112
554,anderweitig,1,0.112
555,problematisches,1,0.112
556,ausflüge,1,0.112
557,kom-,1,0.112
558,miss­,1,0.112
559,schweren,1,0.112
560,missbräuchen,1,0.112
561,se­,1,0.112
562,men,1,0.112
563,spirituellen,1,0.112
564,begangen,1,0.112
565,beteiligten,1,0.112
566,person,1,0.112
567,absolution,1,0.112
568,erteilt,1,0.112
569,erlebte,1,0.112
570,grenzüberschreitendem,1,0.112
571,erwachsenenalter,1,0.112
572,kinderheim,1,0.112
573,missbräuchliches,1,0.112
574,ver­,1,0.112
575,halten,1,0.112
576,«komischen,1,0.112
577,zunge»,1,0.112
578,nachthemden,1,0.112
579,beim,1,0.112
580,erneuten,1,0.112
